RBD,acciones,estimacion_total_clp,fraccion_completa,NOM_RBD,NOM_COM_RBD,COD_DEPE,MAT_TOTAL,ESTADO_ESTAB,estimacion_por_alumno_clp
9693,14,487400000,0.9285714285714286,LICEO POLITECNICO CIENCIA Y TECNOLOGIA,LA CISTERNA,2,848,1,574764.1509433963
9699,18,224000000,0.8888888888888888,COLEGIO NACIONES UNIDAS,LA CISTERNA,2,307,1,729641.693811075
9700,12,136435996,0.25,COLEGIO PALESTINO,LA CISTERNA,2,342,1,398935.6608187134
9701,17,213794000,1.0,LICEO POLIVALENTE OLOF PALME,LA CISTERNA,2,449,1,476155.90200445434
9703,19,168729000,0.8947368421052632,ESCUELA ESPERANZA JOVEN,LA CISTERNA,2,322,1,524003.1055900621
9706,13,65000000,0.0,ESCUELA BAS. OSCAR ENCALADA YOVANOVICH,LA CISTERNA,2,307,1,211726.38436482084
9722,20,123800000,0.1,LICEO PORTAL DE LA CISTERNA,LA CISTERNA,2,463,1,267386.6090712743
9730,21,156824000,0.2857142857142857,COLEGIO ANTU,LA CISTERNA,2,322,1,487031.0559006211
