familia,equipos,valor_observado_clp
Lenovo P11 + teclado/lápiz,231,80849769
Samsung A8/T295,338,47874176
Asus portátil,5,3656535
Huawei T3,19,1564973
Mlab 7,29,1304159
Lenovo M8,4,606176
Samsung A7,1,309400
Impresora Epson,1,240190
