AGNO;RBD;DGV_RBD;NOM_RBD;MRUN;RUT_SOSTENEDOR;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2019;17643;5;LICEO AGRICOLA DE NEGRETE; ;65061296;1;8;BBIO;83;8307;NEGRETE;82;BIOBÍO;3;2;1;-37,590379890000;-72,527063490000;1;710;0;0;0;0;0;0;0;0;0;0;1;1;7;ORIENTACIÓN VALÓRICA INTEGRAL;GRATUITO;GRATUITO
2019;17644;3;PARVULARIO COLEGIO ADVENTISTA DE COMCEP.; ;65102259;1;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;-36,819183000000;-73,046900000000;1;10;0;0;0;0;0;0;0;0;0;0;1;1;7;ADVENTISTA DEL SÉPTIMO DÍA;GRATUITO;$25.001 A $50.000
2019;17647;8;TALLER DE CAPACITACIÓN LABORAL UNPADE; ;65094587;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;-37,472060000000;-72,349884000000;0;212;0;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17648;6;COLEGIO PARTICULAR KENNEDY SCHOOL; ;65143136;1;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;-36,934486950000;-73,024644240000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;7;EVANGÉLICA Y CATÓLICA;GRATUITO;GRATUITO
2019;17649;4;ESCUELA PART.SUBVENCIONADA EL HUALLE;9270456; ;0;16;NUBLE;161;16102;BULNES;81;ÑUBLE;3;2;1; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17650;8;CENTRO DE CAPACITACIÓN URCAE; ;65160333;1;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;-36,822254000000;-73,051960000000;0;213;0;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17651;6;COLEGIO FUNDACION MINISTERIO SAMARITANO; ;72251500;1;8;BBIO;82;8203;CAÑETE;84;ARAUCO;3;2;1; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17652;4;COLEGIO RAIQUEN; ;65145249;1;8;BBIO;83;8313;YUMBEL;82;BIOBÍO;3;2;0;-37,098216860000;-72,558598110000;1;10;110;310;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17653;2;JARDIN INFANTIL SEMILLA; ;78201360;1;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;4;3;0;-36,604380000000;-72,105820000000;0;10;0;0;0;0;0;0;0;0;0;0;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2019;17654;0;CENTRO EDUCACIÓN INTEGRADA DE ADULTOS; ;69151200;1;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;2;1;0;-37,028420000000;-73,141930000000;1;167;363;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17655;9;ESCUELA MUNICIPAL CARRIZAL - MENIR; ;69170700;1;8;BBIO;83;8306;NACIMIENTO;82;BIOBÍO;2;1;1;-37,513876770000;-72,700475420000;0;110;0;0;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2019;17656;7;ESCUELA SACERDOTE ALEJANDRO MANERA; ;69170500;1;8;BBIO;83;8305;MULCHÉN;82;BIOBÍO;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17657;5;INSTITUTO DE HUMANIDADES ANTONIO MORENO CASAMITJANA; ;65065400;1;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;3;2;0;-36,981923230000;-73,167535160000;1;10;110;310;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2019;17658;3;COLEGIO EINSTEIN; ;76123700;1;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;4;3;0;-36,828449000000;-73,055290000000;0;310;363;0;0;0;0;0;0;0;0;0;1;1;1; ;MAS DE $100.000;MAS DE $100.000
2019;17659;1;LICEO TECNICO PESQUERO SANTA CAROLINA; ;72753900;1;8;BBIO;82;8202;ARAUCO;84;ARAUCO;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17660;5;SCUOLA ITALIANA DI CONCEPCION; ;65467840;1;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;3;2;0;-36,941959360000;-73,152327960000;1;10;110;310;0;0;0;0;0;0;0;0;1;1;1; ;$1.000 A $10.000;MAS DE $100.000
2019;17661;3;INTERNADO LICEO A 18 VICENTE PALACIOS; ; ;9;8;BBIO;81;8111;TOMÉ;83;CONCEPCIÓN;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17662;1;LICEO CLAUDIO ARRAU LEON; ;69141100;1;16;NUBLE;163;16302;COIHUECO;81;ÑUBLE;2;1;0;-36,630534910000;-71,837533550000;1;299;310;510;610;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17664;8;INTERNADO ESC E 996 VILLA MERCEDES; ; ;9;8;BBIO;83;8309;QUILLECO;82;BIOBÍO;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17665;6;COLEGIO BEATO ALBERTO HURTADO; ; ;9;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17666;4;INTERNADO LICEO SAN ROSENDO; ; ;9;8;BBIO;83;8310;SAN ROSENDO;82;BIOBÍO;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17667;2;ESCUELA VILLA ACERO; ;69150800;1;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17668;0;COLEG.PARROQ.SAN JOSE DE CABRERO ANEXO; ;80066531;1;8;BBIO;83;8303;CABRERO;82;BIOBÍO;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9; ;SIN INFORMACION;SIN INFORMACION
2019;17669;9;ANEXO N. 1 SAN JOSE; ; ;9;8;BBIO;83;8303;CABRERO;82;BIOBÍO;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17670;2;ANEXO N. 1 LICEO LA ASUNCION; ; ;9;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17671;0;LICEO LA ASUNCION ANEXO 2; ;65178190;1;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2; ;GRATUITO;$25.001 A $50.000
2019;17672;9;LICEO MIGUEL ANGELE CERDA LEIVA; ;69170500;1;8;BBIO;83;8305;MULCHÉN;82;BIOBÍO;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17673;7;INTERNADO LICEO C 69 MIGUEL ANGEL CERDA; ; ;9;8;BBIO;83;8305;MULCHÉN;82;BIOBÍO;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17674;5;ANEXO LICEO SANTA RITA DE LOS ANGELES; ;76165415;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2; ;GRATUITO;GRATUITO
2019;17675;3;INTERNADO LICEO CARDENAL ANTONIO SAMORE; ; ;9;8;BBIO;83;8311;SANTA BÁRBARA;82;BIOBÍO;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17678;8;JARDIN INFANTIL AMIGO DE JESUS; ; ;9;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17679;6;ANEXO COME WEALTH SCHOOL;23489719; ;0;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;3;2;0;-36,608860910000;-72,145962040000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2019;17681;8;INTERNADO ESC F 60; ; ;9;16;NUBLE;162;16207;TREHUACO;81;ÑUBLE;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17682;6;INTERNADO FEMENINO C 15; ; ;9;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17683;4;INTERNADO MASCULINO C 15; ; ;9;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17684;2;INTERNADO FEMENINO CARLOS CONDELL; ; ;9;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17685;0;INTERNADO MASCULINO CARLOS CONDELL; ; ;9;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17686;9;COLEGIO ADVENTISTA CONCEPCIÓN; ;65102259;1;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;-36,825590590000;-73,056472110000;1;110;0;0;0;0;0;0;0;0;0;0;1;1;7;ADVENTISTA;GRATUITO;$50.001 A $100.000
2019;17687;7;COLEGIO TERESIANO LOS ANGELES; ;74331700;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;-37,452376690000;-72,367267610000;1;10;110;310;0;0;0;0;0;0;0;0;1;1;2; ;$1.000 A $10.000;$50.001 A $100.000
2019;17688;5;JARDIN INFANTIL COLORIN COLORADO;18857434; ;0;8;BBIO;83;8311;SANTA BÁRBARA;82;BIOBÍO;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17689;3;COLEGIO LICANRAY; ;65116453;1;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;-36,945035950000;-73,010473220000;0;10;110;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17690;7;COLEGIO BEATO DAMIÁN DE MOLOKAI; ;70438001;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;-37,489264390000;-72,351998380000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
