ïagno;rbd;dgv_rbd;nom_rbd;mrun;rut_sostenedor;p_juridica;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe;cod_depe2;rural_rbd;latitud;longitud;convenio_pie;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09;matricula;estado_estab;ori_religiosa;ori_otro_glosa;pago_matricula;pago_mensual
2016;20026;3;ESCUELA MAPU- LAFKEN; ;76163391;1;9;91;9102;CARAHUE;92;CAUTIN NORTE;3;2;1;-38.703796;-73.387314;0;110;0;0;0;0;0;0;0;0;1;1;3; ;GRATUITO;GRATUITO
2016;20027;1;ESCUELA HUERTOS MINEROS; ;76090710;1;9;91;9102;CARAHUE;92;CAUTIN NORTE;3;2;1;-38.651718;-73.18277;1;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20029;8;ESCUELA SANTA VICTORIA; ;76160703;1;9;91;9106;GALVARINO;92;CAUTIN NORTE;3;2;1;-38.571819;-72.760582;1;110;0;0;0;0;0;0;0;0;1;1;3; ;GRATUITO;SIN INFORMACION
2016;20030;1;ESC.ESPEC.ESDELENG TRAST.DE LA COMUNIC..; ;76182403;1;9;91;9111;NUEVA IMPERIAL;92;CAUTIN NORTE;3;2;0;-38.743546;-72.945412;0;214;0;0;0;0;0;0;0;0;1;1;7;VALORES;GRATUITO;GRATUITO
2016;20032;8;JARDIN INFANTIL ALTAMIRA; ; ;9;9;91;9101;TEMUCO;92;CAUTIN NORTE;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20033;6;COLEGIO CUMBRES DEL BUDI; ;76126001;1;9;91;9116;SAAVEDRA;92;CAUTIN NORTE;3;2;1;-38.892509;-73.348;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20034;4;ESCUELA PARTICULAR ARTURO PRAT;5639204; ;0;9;91;9119;VILCUN;92;CAUTIN NORTE;3;2;0;-38.67675;-72.219406;0;0;0;0;0;0;0;0;0;0;0;2;3; ;GRATUITO;GRATUITO
2016;20035;2;ESCUELA PARTICULAR EMANUEL; ; ;9;9;91;9112;PADRE LAS CASAS;93;CAUTIN SUR;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20036;0;CENTRO DE EDUCACION INTEGRAL DE ADULTOS; ;77334860;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20037;9;LICEO COMERCIAL DEL DESARROLLO; ;65114922;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.753803;-72.625877;0;410;510;0;0;0;0;0;0;0;1;1;7;HUMANISTA-CRISTIANA;GRATUITO;GRATUITO
