ïagno;rbd;dgv_rbd;nom_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe;cod_depe2;rural_rbd;latitud;longitud;convenio_pie;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09;matricula;estado_estab;ori_religiosa;ori_otro_glosa;pago_matricula;pago_mensual
2015;4973;5;INSTITUTO HUMANIDADES SAN FRANCISCO DE ASIS;8;81;8106;LOTA;83;CONCEPCION;3;2;0;-37.078922;-73.156128;1;10;110;310;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;11681;5;COLEGIO MIGUEL DE CERVANTES;12;121;12101;PUNTA ARENAS;121;MAGALLANES;4;3;0;-53.154739;-70.912193;0;10;110;310;0;0;0;0;0;0;1;1;7;ABIERTO A TODAS LAS RELIGIONES Y TAMBIEN A LOS AGN;MÃS DE $100.000;MÃS DE $100.000
2015;509;6;ESC.BASICA ALDECIRA ALVAREZ A.;3;33;3302;ALTO DEL CARMEN;32;HUASCO;2;1;1;-28.858053;-70.288094;0;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;3786;9;ESCUELA EL SAUCE;8;84;8416;SAN CARLOS;81;ÃUBLE;2;1;1;-36.438416;-71.830177;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;10291;1;ESCUELA VICTOR CUCCUINI;13;131;13127;RECOLETA;137;SANTIAGO NORTE;2;1;0;-33.402493;-70.635437;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;5398;8;ESCUELA HEROES DE IQUIQUE;9;92;9211;VICTORIA;91;MALLECO;2;1;0;-38.238258;-72.336647;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;6919;1;ESCUELA PARTICULAR SAN SEBASTIAN;14;141;14103;LANCO;141;VALDIVIA;3;2;1;-39.453472;-72.765762;0;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;4936;0;ESCUELA PURGATORIO;8;81;8109;SANTA JUANA;83;CONCEPCION;2;1;1;-37.309719;-72.987869;0;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;4984;0;ESCUELA ROSITA RENARD;8;81;8102;CORONEL;83;CONCEPCION;2;1;0;-37.002281;-73.165588;1;10;110;299;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;26473;3;ESCUELA ESPECIAL VISTA HERMOSA;13;131;13106;ESTACION CENTRAL;134;SANTIAGO PONIENTE;3;2;0;-33.498898;-70.717499;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;5133;0;ESCUELA BASICA LLONCAO;8;82;8203;CAÃETE;84;ARAUCO;2;1;1;-37.899311;-73.440941;1;10;110;0;0;0;0;0;0;0;1;1;7;NO HAY UNA EN PARTICULAR;GRATUITO;GRATUITO
2015;683;1;ESCUELA DE LA CALERA;4;41;4106;VICUÃA;41;ELQUI;2;1;1;-29.991886;-70.994614;0;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
