RBD,acciones,estim_total,estim_sep,pct_completas,avance_min,avance_max,porc_ben,montos_extremos,faltantes_sep,duplicados,nombre_pme,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01,_merge,estim_por_alumno,elegible
31,17,263849266,263849266.0,0.29411764705882354,70.58823529411765,86.11764705882354,87.3,0,0,0,ESCUELA DARIO SALAS DIAZ,ESCUELA DARIO SALAS DIAZ,ARICA,6,1,1,393,10,both,671372.1781170483,True
32,16,391665786,391665786.0,1.0,100.0,100.0,85.2,0,0,0,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,6,1,1,819,10,both,478224.40293040295,True
33,14,128465214,128465214.0,0.07142857142857142,67.85714285714286,90.14285714285714,91.4,0,0,0,ESCUELA CARLOS CONDELL DE LA HAZA,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,6,1,1,198,10,both,648814.2121212122,True
35,16,50801776,50801776.0,0.8125,93.75,98.25,70.6,0,0,0,ESCUELA GRAL. MANUEL BAQUEDANO,ESCUELA GRAL. MANUEL BAQUEDANO,ARICA,6,1,1,136,10,both,373542.4705882353,True
36,13,154792390,154792390.0,0.8461538461538461,94.23076923076923,97.92307692307692,71.6,0,0,0,ESCUELA IGNACIO CARRERA PINTO,ESCUELA IGNACIO CARRERA PINTO,ARICA,6,0,1,331,10,both,467650.7250755287,True
38,26,273342429,273342429.0,0.8846153846153846,91.38461538461539,93.1923076923077,85.1,0,0,0,ESCUELA ESPAÑA,ESCUELA ESPAÑA,ARICA,6,1,1,498,10,both,548880.3795180722,True
39,9,27691196,27691196.0,1.0,100.0,100.0,46.8,0,0,0,ESCUELA PAMPA ALGODONAL,ESCUELA PAMPA ALGODONAL,ARICA,6,1,1,79,10,both,350521.4683544304,True
41,10,32814295,32814295.0,1.0,100.0,100.0,71.4,0,0,0,ESCUELA VALLE DE CHACA,ESCUELA VALLE DE CHACA,ARICA,6,1,1,77,110,both,426159.67532467534,True
42,9,13994161,13994161.0,1.0,100.0,100.0,40.0,0,0,0,ESCUELA MOLINOS LLUTA,ESCUELA MOLINOS LLUTA,ARICA,6,1,1,25,110,both,559766.44,True
43,8,3900000,3900000.0,0.0,47.0,70.875,73.1,0,0,0,JARDIN INFANTIL CEPILLIN,JARDIN INFANTIL CEPILLIN,ARICA,3,0,1,26,10,both,150000.0,True
45,36,382500000,382500000.0,1.0,100.0,100.0,83.9,0,0,0,COLEGIO ITALIANO SANTA ANA,COLEGIO ITALIANO SANTA ANA,ARICA,3,0,1,862,10,both,443735.4988399072,True
49,15,22686000,22686000.0,0.3333333333333333,76.66666666666667,92.66666666666667,87.0,0,0,0,JARDIN INFANTIL PADRE LUIS GALLARDO,JARDIN INFANTIL PADRE LUIS GALLARDO,ARICA,3,0,1,23,10,both,986347.8260869565,True
