dependencia,rural,n,rho_estim_por_alumno_completas
1,0,539,0.06508942229017547
1,1,237,0.13520208533750103
2,0,1348,0.09327248158602366
2,1,1780,0.042466461677859065
3,0,2935,0.136447453687109
3,1,564,0.10084384257926833
5,0,35,0.11128375518902656
6,0,468,0.13013508952127012
6,1,331,-0.012183778389046974
