numero_anexo,dependencia_original,decreto,fecha_decreto,factura,fecha_factura,tipo,comodato,modelo_original,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd
28,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,4,sin_comodato_32_2_4,Volcán Llaima,Samsung A8/T295,19927
29,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,5,sin_comodato_32_2_5,Volcán Llaima,Samsung A8/T295,19927
30,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,6,sin_comodato_32_2_6,Volcán Llaima,Samsung A8/T295,19927
31,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,7,sin_comodato_32_2_7,Volcán Llaima,Samsung A8/T295,19927
32,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,8,sin_comodato_32_2_8,Volcán Llaima,Samsung A8/T295,19927
33,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,9,sin_comodato_32_2_9,Volcán Llaima,Samsung A8/T295,19927
34,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,10,sin_comodato_32_2_10,Volcán Llaima,Samsung A8/T295,19927
35,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,11,sin_comodato_32_2_11,Volcán Llaima,Samsung A8/T295,19927
36,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,12,sin_comodato_32_2_12,Volcán Llaima,Samsung A8/T295,19927
37,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,13,sin_comodato_32_2_13,Volcán Llaima,Samsung A8/T295,19927
38,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,14,sin_comodato_32_2_14,Volcán Llaima,Samsung A8/T295,19927
39,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,15,sin_comodato_32_2_15,Volcán Llaima,Samsung A8/T295,19927
40,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,16,sin_comodato_32_2_16,Volcán Llaima,Samsung A8/T295,19927
41,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,17,sin_comodato_32_2_17,Volcán Llaima,Samsung A8/T295,19927
42,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,18,sin_comodato_32_2_18,Volcán Llaima,Samsung A8/T295,19927
43,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,19,sin_comodato_32_2_19,Volcán Llaima,Samsung A8/T295,19927
44,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,20,sin_comodato_32_2_20,Volcán Llaima,Samsung A8/T295,19927
45,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,21,sin_comodato_32_2_21,Volcán Llaima,Samsung A8/T295,19927
46,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,32,2,22,sin_comodato_32_2_22,Volcán Llaima,Samsung A8/T295,19927
47,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,32,2,23,sin_comodato_32_2_23,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
48,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,32,2,24,sin_comodato_32_2_24,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
49,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,32,2,25,sin_comodato_32_2_25,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
50,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,32,2,26,sin_comodato_32_2_26,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
51,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,32,2,27,sin_comodato_32_2_27,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
52,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,32,2,28,sin_comodato_32_2_28,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
53,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,32,2,29,sin_comodato_32_2_29,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
54,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,2,sin_comodato_33_3_2,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
55,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,3,sin_comodato_33_3_3,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
56,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,4,sin_comodato_33_3_4,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
57,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,5,sin_comodato_33_3_5,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
