numero_anexo,dependencia_original,decreto,fecha_decreto,factura,fecha_factura,tipo,comodato,modelo_original,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd
115,Molulco,120,2021-05-18,200597,2021-04-22,Tablet,No existe comodato,TABLET SAMSUNG GALAXY T505 TAB A7 10.4” 32 GB LTE,35,5,7,sin_comodato_35_5_7,Molulco,Samsung A7,6009
116,Fundo Molulco,382,2020-12-24,9615,2020-12-10,Tablet,No existe comodato,TABLET LENOVO TAB M8 2GB WIFI 8 ZA5H0070CL,35,5,8,sin_comodato_35_5_8,Fundo Molulco,Lenovo M8,6011
117,Fundo Molulco,382,2020-12-24,9615,2020-12-10,Tablet,No existe comodato,TABLET LENOVO TAB M8 2GB WIFI 8 ZA5H0070CL,35,5,9,sin_comodato_35_5_9,Fundo Molulco,Lenovo M8,6011
118,Fundo Molulco,382,2020-12-24,9615,2020-12-10,Tablet,No existe comodato,TABLET LENOVO TAB M8 2GB WIFI 8 ZA5H0070CL,35,5,10,sin_comodato_35_5_10,Fundo Molulco,Lenovo M8,6011
119,Fundo Molulco,382,2020-12-24,9615,2020-12-10,Tablet,No existe comodato,TABLET LENOVO TAB M8 2GB WIFI 8 ZA5H0070CL,35,5,11,sin_comodato_35_5_11,Fundo Molulco,Lenovo M8,6011
120,Carén,397,2020-12-30,7908,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE UNIDAD,35,5,12,sin_comodato_35_5_12,Carén,Mlab 7,6017
121,Carén,397,2020-12-30,7908,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE UNIDAD,35,5,13,sin_comodato_35_5_13,Carén,Mlab 7,6017
122,Carén,397,2020-12-30,7908,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE UNIDAD,35,5,14,sin_comodato_35_5_14,Carén,Mlab 7,6017
123,Carén,397,2020-12-30,7908,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE UNIDAD,35,5,15,sin_comodato_35_5_15,Carén,Mlab 7,6017
124,Carén,397,2020-12-30,7908,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE UNIDAD,35,5,16,sin_comodato_35_5_16,Carén,Mlab 7,6017
125,Carén,397,2020-12-30,7908,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE UNIDAD,35,5,17,sin_comodato_35_5_17,Carén,Mlab 7,6017
126,Carén,397,2020-12-30,7908,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE UNIDAD,35,5,18,sin_comodato_35_5_18,Carén,Mlab 7,6017
127,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,19,sin_comodato_35_5_19,Sin distribución por escuela,Samsung A8/T295,
128,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,20,sin_comodato_35_5_20,Sin distribución por escuela,Samsung A8/T295,
129,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,21,sin_comodato_35_5_21,Sin distribución por escuela,Samsung A8/T295,
130,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,22,sin_comodato_35_5_22,Sin distribución por escuela,Samsung A8/T295,
131,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,23,sin_comodato_35_5_23,Sin distribución por escuela,Samsung A8/T295,
132,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,24,sin_comodato_35_5_24,Sin distribución por escuela,Samsung A8/T295,
133,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,25,sin_comodato_35_5_25,Sin distribución por escuela,Samsung A8/T295,
134,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,26,sin_comodato_35_5_26,Sin distribución por escuela,Samsung A8/T295,
135,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,27,sin_comodato_35_5_27,Sin distribución por escuela,Samsung A8/T295,
136,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,28,sin_comodato_35_5_28,Sin distribución por escuela,Samsung A8/T295,
137,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,35,5,29,sin_comodato_35_5_29,Sin distribución por escuela,Samsung A8/T295,
138,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,36,6,2,sin_comodato_36_6_2,Sin distribución por escuela,Samsung A8/T295,
139,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,36,6,3,sin_comodato_36_6_3,Sin distribución por escuela,Samsung A8/T295,
140,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,36,6,4,sin_comodato_36_6_4,Sin distribución por escuela,Samsung A8/T295,
141,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,36,6,5,sin_comodato_36_6_5,Sin distribución por escuela,Samsung A8/T295,
142,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,36,6,6,sin_comodato_36_6_6,Sin distribución por escuela,Samsung A8/T295,
143,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,36,6,7,sin_comodato_36_6_7,Sin distribución por escuela,Samsung A8/T295,
144,Diferentes Establecimientos,263,2021-10-06,13981,2021-07-22,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE,36,6,8,sin_comodato_36_6_8,Sin distribución por escuela,Samsung A8/T295,
