fila_excel,RBD,NOM_RBD,NOM_COM_RBD,COD_DEPE,DIMENSION,NOM_ACTIVIDAD,DESC_ACTIVIDAD,NIV_IMPLEM,ESTIM_SUBV_GRAL,ESTIM_SEP,ESTIM_PIE,ESTIM_MANTEN,ESTIM_PRO_RET,ESTIM_INTERNADO,ESTIM_REFORZ,ESTIM_FAEP,ESTIM_APORT_MUN,ESTIM_TOTAL,duplicado_exacto_adicional,diferencia_total_componentes,total_mayor_1000_millones
11196,1262,LICEO BICENTENARIO GUILLERMO RICHARDS CUEVAS,SAN FELIPE,5,Convivencia Escolar,Afianzando identidad,"Promoción de valores institucionales en salas de clases, monitoreo del vestuario y presentación personal. Participación activa en  actos, ceremonias culturales y efemérides del calendario escolar, competencias deportivas, técnicas, ferias científicas, competencias corporativas e interescolares. Práctica y comprobación de valores, sumándose el cuidado personal y de espacios educativos.",Implementación completa: 100%,0,0.0,0,0,0,0,0,0,0,0,True,0.0,False
11200,1262,LICEO BICENTENARIO GUILLERMO RICHARDS CUEVAS,SAN FELIPE,5,Gestión de Recursos,Plataformas tecnológicas,"Fortalecer las plataformas de gestión del aprendizaje que permita a los educadores crear y administrar cursos en línea, distribuir materiales educativos, realizar seguimiento del progreso de los estudiantes y facilitar la comunicación entre docentes y estudiantes. Recursos digitales interactivos como las aplicaciones, software y recursos en línea para enriquecer el proceso de enseñanza.",Implementación completa: 100%,0,0.0,0,0,0,0,0,0,0,0,True,0.0,False
57797,7661,ESCUELA RURAL COLONIA METRENQUEN,PUERTO MONTT,2,Convivencia Escolar,SALIDAS PEDAGÓGICAS,"El equipo directivo y los docentes implementan salidas  pedagógicas que se realizarán durante el año escolar, con el  objetivo de fortalecer los procesos de aprendizaje de los  estudiantes a nivel cognitivo y formativo, aumentando su  motivación, y favoreciendo el desarrollo de aprendizajes  significativos a través de experiencias educativas  contextualizadas a su PEI, sellos educativos y ampliad",Implementación adecuada: 50% a 74%,0,100.0,0,0,0,0,0,0,0,100,True,0.0,False
57803,7661,ESCUELA RURAL COLONIA METRENQUEN,PUERTO MONTT,2,Gestión Pedagógica,PLATAFORMA DE GESTIÓN CURRICULAR (LIRMI),"Disponer de un servicio de software de plataforma de gestión  curricular, que permita a los docentes y equipo directivo evaluar los  aprendizajes, planificar la enseñanza, monitorear las tendencias y  asegurar la cobertura curricular, con el fin de mejorar las prácticas  pedagógicas e institucionales al interior del establecimiento.",Implementación inicial: 1% a 24%,0,100.0,0,0,0,0,0,0,0,100,True,0.0,False
