RBD,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01
9693,LICEO POLITECNICO CIENCIA Y TECNOLOGIA,LA CISTERNA,2,0,1,848,310
9699,COLEGIO NACIONES UNIDAS,LA CISTERNA,2,0,1,307,10
9700,COLEGIO PALESTINO,LA CISTERNA,2,0,1,342,10
9701,LICEO POLIVALENTE OLOF PALME,LA CISTERNA,2,0,1,449,10
9703,ESCUELA ESPERANZA JOVEN,LA CISTERNA,2,0,1,322,10
9706,ESCUELA BAS. OSCAR ENCALADA YOVANOVICH,LA CISTERNA,2,0,1,307,10
9722,LICEO PORTAL DE LA CISTERNA,LA CISTERNA,2,0,1,463,110
9730,COLEGIO ANTU,LA CISTERNA,2,0,1,322,10
